Time,Gas Demand (bcf),Forecast
Jan-10,2210.162,
Feb-10,2047.815,
Mar-10,2276.546,
Apr-10,2190.27,
May-10,2236.507,2181.19825
Jun-10,2138.77,2187.7845
Jul-10,2208.752,2210.52325
Aug-10,2235.038,2193.57475
Sep-10,2238.147,2204.76675
Oct-10,2356.947,2205.17675
Nov-10,2276.71,2259.721
Dec-10,2400.417,2276.7105
Jan-11,2299.298,2318.05525
Feb-11,2104.33,2333.343
Mar-11,2410.884,2270.18875
Apr-11,2349.719,2303.73225
May-11,2410.866,2291.05775
Jun-11,2312.943,2318.94975
Jul-11,2340.293,2371.103
Aug-11,2370.439,2353.45525
Sep-11,2358.169,2358.63525
Oct-11,2502.386,2345.461
Nov-11,2475.947,2392.82175
Dec-11,2543.747,2426.73525
Jan-12,2571.35,2470.06225
Feb-12,2360.06,2523.3575
Mar-12,2524.26,2487.776
Apr-12,2417.497,2499.85425
May-12,2490.707,2468.29175
Jun-12,2376.775,2448.131
Jul-12,2465.064,2452.30975
Aug-12,2373.953,2437.51075
Sep-12,2410.374,2426.62475
Oct-12,2557.14,2406.5415
Nov-12,2471.364,2451.63275
Dec-12,2523.763,2453.20775
Jan-13,2512.03,2490.66025
Feb-13,2269.906,2516.07425
Mar-13,2503.999,2444.26575
Apr-13,2446.307,2452.4245
May-13,2488.676,2433.0605
Jun-13,2385.386,2427.222
Jul-13,2512.441,2456.092
Aug-13,2495.089,2458.2025
Sep-13,2414.405,2470.398
Oct-13,2513.171,2451.83025
Nov-13,2455.169,2483.7765
Dec-13,2525.966,2469.4585
Jan-14,2580.018,2477.17775
Feb-14,2356.978,2518.581
Mar-14,2623.913,2479.53275
Apr-14,2583.872,2521.71875
May-14,2633.252,2536.19525
Jun-14,2560.033,2549.50375
Jul-14,2629.155,2600.2675
Aug-14,2644.937,2601.578
Sep-14,2625.502,2616.84425
Oct-14,2735.718,2614.90675
Nov-14,2661.917,2658.828
Dec-14,2770.08,2667.0185
Jan-15,2790.051,2698.30425
Feb-15,2520.508,2739.4415
Mar-15,2827.524,2685.639
Apr-15,2758.729,2727.04075
May-15,2790.849,2724.203
Jun-15,2660.158,2724.4025
Jul-15,2756.221,2759.315
Aug-15,2744.747,2741.48925
Sep-15,2721.448,2737.99375
Oct-15,2806.077,2720.6435
Nov-15,2726.219,2757.12325
Dec-15,2812.11,2749.62275
Jan-16,2823.104,2766.4635
Feb-16,2653.841,2791.8775
Mar-16,2824.983,2753.8185
Apr-16,2678.609,2778.5095
May-16,2767.844,2745.13425
Jun-16,2628.163,2731.31925
Jul-16,2721.21,2724.89975
Aug-16,2722.63,2698.9565
Sep-16,2626.212,2709.96175
Oct-16,2720.187,2674.55375
Nov-16,2678.246,2697.55975
Dec-16,2746.543,2686.81875
Jan-17,2723.628,2692.797
Feb-17,2493.267,2717.151
Mar-17,2797.116,2660.421
Apr-17,2689.966,2690.1385
May-17,2778.964,2675.99425
Jun-17,2688.421,2689.82825
Jul-17,2753.996,2738.61675
Aug-17,2769.67,2727.83675
Sep-17,2763.285,2747.76275
Oct-17,2911.373,2743.843
Nov-17,2897.002,2799.581
Dec-17,3025.419,2835.3325
Jan-18,2993.177,2899.26975
Feb-18,2751.214,2956.74275
Mar-18,3069.284,2916.703
Apr-18,2976.107,2959.7735
May-18,3098.558,2947.4455
Jun-18,2972.738,2973.79075
Jul-18,3138.242,3029.17175
Aug-18,3206.177,3046.41125
Sep-18,3153.977,3103.92875
Oct-18,3314.675,3117.7835
Nov-18,3259.912,3203.26775
Dec-18,3391.472,3233.68525
Jan-19,3376.735,3280.009
Feb-19,3056.915,3335.6985
Mar-19,3383.041,3271.2585
Apr-19,3315.269,3302.04075
May-19,3424.018,3282.99
Jun-19,3299.793,3294.81075
Jul-19,3395.983,3355.53025
Aug-19,3448.106,3358.76575
Sep-19,3396.571,3391.975
Oct-19,3551.97,3385.11325
Nov-19,3509.292,3448.1575
Dec-19,3622.512,3476.48475
Jan-20,3596.775,3520.08625
Feb-20,3363.433,3570.13725
Mar-20,3582.414,3523.003
Apr-20,3374.224,3541.2835
May-20,3285.104,3479.2115
Jun-20,3217.496,3401.29375
Jul-20,3373.594,3364.8095
Aug-20,3349.816,3312.6045
Sep-20,3265.271,3306.5025
Oct-20,3363.755,3301.54425
Nov-20,3352.373,3338.109
Dec-20,3489.506,3332.80375
Jan-21,3516.947,3367.72625
Feb-21,2949.989,3430.64525
Mar-21,3517.611,3327.20375
Apr-21,3438.382,3368.51325
May-21,3534.773,3355.73225
Jun-21,3400.496,3360.18875
Jul-21,3514.366,3472.8155
Aug-21,3545.197,3472.00425
Sep-21,3423.163,3498.708
Oct-21,3599.639,3470.8055
Nov-21,3545.208,3520.59125
Dec-21,3680.343,3528.30175
Jan-22,3591.005,3562.08825
Feb-22,3226.679,3604.04875
Mar-22,3613.635,3510.80875
Apr-22,3520.462,3527.9155
May-22,3667.146,3487.94525
Jun-22,3553.037,3506.9805
Jul-22,3680.501,3588.57
22-Aug,,
22-Sep,,
22-Oct,,
22-Nov,,
22-Dec,,
